Name,Genus Authority Author,Genus Authority Date,Strata
,"Chucarosaurus: F.L. Agnolin, B.J. Gonzalez Riga, A.M. Aranciaga Rolando, S. Rozadilla, M.J. Motta, N.R. Chimento & F.E. Novas, 2023 ",,
,"Chungkingosaurus: Dong Z-M, Zhou S. & Zhang Y.H, 1983",,
,"Chuxiongosaurus: Lü J-C, Y. Kobayashi, Li T-G & Zhong S, 2010 [PSS → Jingshanosaurus]",,
,"Cinizasaurus: Heckert, 1997 vide S.J. Nesbitt, R.B. Irmis & Parker, 2007 [nomen ex dissertatione]",,
,"Cionodon: E.D. Cope, 1874 [nomen dubium]",,
,"Citipati: J.M. Clark, M.A. Norell & R. Barsbold, 2001",,
,"Citipes: G.F. Funston, 2020",,
,"Claorhynchus: E.D. Cope, 1892 [nomen dubium; PSS → Triceratops]",,
,"Claosaurus: O.C. Marsh, 1890",,
,"Clasmodosaurus: F. Ameghino, 1898 [nomen dubium]",,
,"Clevelanotyrannus: R.T. Bakker, Williams & P.J. Currie vide P.J. Currie, 1987 [nomen nudum → Nanotyrannus]",,
,"Coahuilaceratops: M.A. Loewen, S.D. Sampson, E.K. Lund, A.A. Farke, M.C. Aguillón-Martínez, de Leon, R.A. Rodríguez de la Rosa, M.A. Getty & D.A. Eberth, 2010",,
,"Coelophysis: E.D. Cope, 1889",,
,"Coelosaurus: J. Leidy, 1865 / [Anonymous, known to be R. Owen], 1854 → Ornithomimus",,
,"Coeluroides: F. von Huene & Matley, 1933 [nomen dubium]",,
,"Coelurosaurus: F. von Huene, 1929 [nomen nudum]",,
,"Coelurus: O.C. Marsh, 1879",,
,"Colepiocephale: R. Sullivan, 2003",,
,"Coloradia: J.F. Bonaparte, 1978 / Blake, 1863 → Coloradisaurus",,
,"Coloradisaurus: Lambert, 1983",,
,"Colossosaurus: G. Mantell, 1849 vide Torrens, 1997 [nomen nudum → Pelorosaurus]",,
,"Comahuesaurus: J.L. Carballido, L. Salgado, D. Pol, J.I. Canudo & A.C. Garrido, 2012",,
,"Comanchesaurus: A.P. Hunt, 1994 vide S.J. Nesbitt, R.B. Irmis & Parker, 2007 [nomen ex dissertatione]",,
,"Compsognathus: J.A. Wagner, 1859",,
,"Compsosuchus: F. von Huene & Matley, 1933",,
,"Concavenator: F. Ortega, F. Escaso & J.L. Sanz, 2010",,
,"Conchoraptor: R. Barsbold, 1986",,
,"Condorraptor: O.W.M. Rauhut, 2005",,
,"Convolosaurus: K.A. Andrzejewski, D.A. Winkler & L.L. Jacobs, 2019",,
,"Coronosaurus: M.J. Ryan, D.C. Evans & K.M. Shepherd, 2012",,
,"Corythoraptor: Lü J-C, Li G-Q, M. Kundrát, Lee Y-N, Sun Z-Y, Y. Kobayashi, Shen C, Teng F-F & Liu H-F, 2017",,
,"Corythosaurus: B. Brown, 1914",,
,"Craspedodon: L. Dollo, 1883",,
,"Crataeomus: H.G. Seeley, 1881 [nomen dubium; PSS → Struthiosaurus]",,
,"Craterosaurus: H.G. Seeley, 1874 [nomen dubium; PSS → Regnosaurus]",,
,"Creosaurus: O.C. Marsh, 1878 [nomen dubium; PSS → Allosaurus]]",,
,"Crichtonpelta: V.M. Arbour & P.J. Currie, 2015",,
,"Crichtonsaurus: Dong Z-M, 2002 [nomen dubium]",,
,"Cristatusaurus: P. Taquet & D.A. Russell, 1998",,
,"Crittendenceratops: S.G. Dalman, J.M. Hodnett, A.J. Lichtig & S.G. Lucas, 2018",,
,"Cruxicheiros: R.B.J. Benson & J.D. Radley, 2009",,
,"Cryolophosaurus: Hammer & Hickerson, 1994",,
,"Cryptodraco: R. Lydekker, 1889 [JOS → Cryptosaurus]",,
,"Cryptoraptor: A.P. Hunt, 1994 vide S.J. Nesbitt, R.B. Irmis & Parker, 2007 [nomen ex dissertatione]",,
,"Cryptosaurus: H.G. Seeley, 1869",,
,"Cryptovolans: Czerkas, Zhang D, Li J-L. & Li Y-X, 2002 [PSS → Microraptor]",,
,"Cumnoria: H.G. Seeley, 1888 [PSS → Camptosaurus]",,
,"Cylindricodon: R. Owen vide Ingles & Sawyer, 1979 / G. Jaeger, 1828 → Hylaeosaurus",,
,,,
,"Daanosaurus: Ye, Gao Y. & Jiang S, 2005",,
,"Dacentrurus: F.A. Lucas, 1902",,
,"Dachungosaurus: Zhao X. (as Chao S.), 1985 [nomen nudum]",,
,"Daemonosaurus: H-D Sues, S.J. Nesbitt, D.S. Berman & A.C. Henrici, 2011",,
,"Dahalokely: A.A. Farke & J.J.W. Sertich, 2013",,
,"Dakotadon: G.S. Paul, 2008",,
,"Dakotaraptor: R.A. DePalma, D.A. Burnham, L.D. Martin, P.L. Larson & R.T. Bakker, 2015",,
,"Dalianraptor: Gao C. & Liu J-Y, 2005 [possible bird]",,
,"Daliansaurus: Shen C-Z, Lü J-C, Liu S, M. Kundrát, S.L. Brusatte & Gao H-L, 2017",,
,"Damalasaurus: Zhao X, 1983 [nomen nudum]",,
,"Dandakosaurus: P. Yadagiri, 1982 [nomen dubium]",,
,"Danubiosaurus: E. Bunzel, 1871 [nomen dubium; PSS → Struthiosaurus]",,
,"Daptosaurus: B. Brown vide D. Chure & McIntosh, 1989 [nomen nudum → Deinonychus]",,
,"Darwinsaurus: G.S. Paul, 2012",,
,"Dashanpusaurus: Peng G, Ye, Gao Y, Shu & Jiang S, 2005",,
,"Daspletosaurus: D.A. Russell, 1970 [PSS → Albertosaurus]",,
,"Datanglong: Mo J, Zhou F, Li G-N, Huang Z & Cao C-Y, 2014",,
,"Datonglong: Xu S-C, You H-L, Wang J-W, Wang S-Z, Yi J. & Jia L, 2015",,
,"Datousaurus: Dong Z-M & Tang Z, 1984",,
,"Daurlong: Wang X, Cau A, Guo B, Ma F, Qing G & Liu Y-C, 2022",,
,"Daurosaurus: V.R. Alifanov & S.V. Saveliev, 2014 [PSS → Kulindadromeus]",,
,"Daxiatitan: You H-L, Li D-Q, Zhou L. & Ji Q, 2008",,
,"Deinocheirus: H. Osmólska & Roniewicz, 1970",,
,"Deinodon: J. Leidy, 1856 [nomen dubium; PSS → Albertosaurus]",,
,"Deinonychus: J.H. Ostrom, 1969",,
,"Delapparentia: J.I. Ruíz-Omeñaca, 2011",,
,"Deltadromeus: P.C. Sereno, Duthiel, Iarochene, H.C.E. Larsson, Lyon, Magwene, C.A. Sidor, D.J. Varricchio & J.A. Wilson, 1996",,
,"Demandasaurus: F.T. Fernández-Baldor, J.I. Canudo, P. Huerta, D. Montero, X. Pereda-Suberbiola & L. Salgado, 2010",,
,"Denversaurus: R.T. Bakker, 1988",,
,"Diabloceratops: J.I. Kirkland & D.D. DeBlieux, 2010",,
,"Diamantinasaurus: S.A. Hocknull, M.A. White, T.R. Tischler, A.G. Cook, N.D. Calleja, T. Sloan & D.A. Elliott, 2009",,
,"Diceratops: Lull vide Hatcher, 1905 / Foerster, 1868 → Diceratus (unnecessary) & Nedoceratops",,
,"Diceratus: O. Mateus, 2008 [JOS → Nedoceratops]",,
,"Diclonius: E.D. Cope, 1876 [nomen dubium]",,
,"Dicraeosaurus: Janensch, 1914",,
,"Didanodon: H.F. Osborn, 1902 [nomen dubium; PSS → Lambeosaurus]",,
,"Dilong: Xu X, M.A. Norell, Kuang, Wang X-L, Zhao Q. & Jia C, 2004",,
,"Dilophosaurus: Welles, 1970",,
,"Diluvicursor: M.C. Herne, A.M. Tait, V. Weisbecker, M. Hall, J.P. Nair, M. Cleeland & S.W. Salisbury, 2018",,
,"Dimodosaurus: Pidancet & Chopard, 1862 [nomen dubium; PSS → Plateosaurus]",,
,"Dineobellator: S.E. Jasinski, R.M. Sullivan & P. Dodson, 2020",,
,"Dinheirosaurus: J.F. Bonaparte & O. Mateus, 1999",,
,"Dinodocus: R. Owen, 1884 [nomen dubium]",,
,"Dinosaurus: L. Rütimeyer, 1856 / Fischer von Waldheim, 1847 → Gresslyosaurus",,
,"Dinotyrannus: G. Olshevsky vide G. Olshevsky, Ford & Yamamoto, 1995 [JSS → Tyrannosaurus]",,
,"Diodorus: C.F. Kammerer, S.J. Nesbitt & N.H. Shubin, 2011",,
,"Diplodocus: O.C. Marsh, 1878",,
,"Diplotomodon: J. Leidy, 1868 [nomen dubium; PSS → Dryptosaurus]",,
,"Diracodon: O.C. Marsh, 1881 [nomen dubium; PSS → Stegosaurus]",,
,"Dolichosuchus: F. von Huene, 1932 [nomen dubium]",,
,"Dollodon: G.S. Paul, 2008 [PSS → Mantellisaurus]",,
,"Domeykosaurus: D. Rubilar-Rogers (as Rubilar) & Vargas vide [Anonymous], 2003 [nomen nudum; in May 29, 2003 Reuters news reports]",,
,"Dongbeititan: Wang X-R, You H-L, Meng Q, Gao C, Chang X. & Liu J-Y, 2007",,
,"Dongshengosaurus: Pan R, 2015 [nomen ex dissertatione]",,
,"Dongyangopelta: Chen R, Zheng W, Y. Azuma, M. Shibata, Lou, Jin Q & Jin X, 2013 [PSS → Zhejiangosaurus]",,
,"Dongyangosaurus: Lü J-C, Y. Azuma, Chen R, Zheng W. & Jin X, 2008",,
,"Doryphorosaurus: F. Nopcsa, 1916 [JOS → Kentrosaurus]",,
,"Draconyx: O. Mateus & Telles Antunes, 2001",,
,"Dracopelta: P.M. Galton, 1980",,
,"Dracoraptor: D.M. Martill, S.U. Vidovic, C. Howells & J.R. Nudds, 2016",,
,"Dracorex: R.T. Bakker, R. Sullivan, Porter, P.L. Larson & Saulsbury, 2006 [PSS → Pachycephalosaurus]",,
,"Dracovenator: A.M. Yates, 2006 [for 2005]",,
,"Dravidosaurus: P. Yadagiri & K. Ayyasami, 1979",,
,"Dreadnoughtus: K.J. Lacovara, M.C. Lamanna, L.M. Ibiricu, J.C. Poole, E.R. Schroeter, P.V. Ullmann, K.K. Voegele, Z.M. Boles, A.M. Carter, E.K. Fowler, V.M. Egerton, A.E. Moyer, C.L. Coughenour, J.P. Schein, J.D. Harris, R.D. Martínez & F.E. Novas, 2014",,
,"Drinker: R.T. Bakker, P.M. Galton, Siegwarth & Filla, 1990 [PSS → Nanosaurus]",,
,"Dromaeosauroides: P. Christiansen & Bonde, 2003",,
,"Dromaeosaurus: Matthew & B. Brown, 1922",,
,"Dromiceiomimus: D.A. Russell, 1972",,
,"Dromicosaurus: van Hoepen, 1920 [JSS → Massospondylus]",,
,"Dromomeron: R.B. Irmis, S.J. Nesbitt, Padian, N.D. Smith, A.H. Turner, Woody & A. Downs, 2007",,
,"Drusilasaura: C. Navarrete, G.A. Casal & R.D. Martínez, 2011",,
,"Dryosaurus: O.C. Marsh, 1894",,
,"Dryptosauroides: F. von Huene & Matley, 1933 [nomen dubium]",,
,"Dryptosaurus: O.C. Marsh, 1877",,
,"Dubreuillosaurus: R. Allain, 2005",,
,"Duriatitan: P.M. Barrett, R.B.J. Benson & P. Upchurch, 2010",,
,"Duriavenator: R.B.J. Benson, 2008",,
,"Dynamosaurus: H.F. Osborn, 1905 [JSS → Tyrannosaurus]",,
,"Dynamoterror: A.T. McDonald, D.G. Wolfe & A.C. Dooley Jr, 2018",,
,"Dyoplosaurus: Parks, 1924",,
,"Dysalotosaurus: Virchow, 1919 [JSS → Dryosaurus]",,
,"Dysganus: E.D. Cope, 1876 [nomen dubium]",,
,"Dyslocosaurus: McIntosh, Coombs & D.A. Russell, 1992",,
,"Dystrophaeus: E.D. Cope, 1877",,
,"Dystylosaurus: J.A. Jensen, 1985 [JSS → Supersaurus]",,
,"Dzharaonyx: A.O. Averianov & H-D Sues, 2022",,
,"Dzharatitanis: A.O. Averianov & H-D Sues, 2021",,
,,,
,"Echinodon: R. Owen, 1861",,
,"Edmarka: R.T. Bakker, Kralis, Siegwarth & Filla, 1992",,
,"Edmontonia: C.M. Sternberg, 1928",,
,"Edmontosaurus: Lambe, 1917",,
,"Efraasia: P.M. Galton, 1973",,
,"Einiosaurus: S.D. Sampson, 1995",,
,"Ekrixinatosaurus: J.O. Calvo, D. Rubilar-Rogers & Moreno, 2004",,
,"Elaltitan: P.D. Mannion & A. Otero, 2012",,
,"Elaphrosaurus: Janensch, 1920",,
,"Elemgasem: M.A. Baiano, D. Pol, F. Bellardini, G.J. Windholz, I.A. Cerda, A.C. Garrido & R.A. Coria, 2022",,
,"Elmisaurus: H. Osmólska, 1981",,
,"Elosaurus: Peterson & Gilmore, 1902 [JSS → Apatosaurus]",,
,"Elrhazosaurus: P.M. Galton, 2009",,
,"Elvisaurus: Holmes, 1993 [nomen nudum → Cryolophosaurus]",,
,"Emausaurus: Haubold, 1990",,
,"Embasaurus: Riabinin, 1931 [nomen dubium]",,
,"Enigmosaurus: R. Barsbold & A. Perle vide R. Barsbold, 1983 [JSS → Erlikosaurus]",,
,"Eoabelisaurus: D. Pol & O.W.M. Rauhut, 2012",,
,"Eobrontosaurus: R.T. Bakker, 1998",,
,"Eocarcharia: P.C. Sereno & S.L. Brusatte, 2008",,
,"Eoceratops: Lambe, 1915 [PSS → Chasmosaurus]",,
,"Eocursor: R.J. Butler, R.M.H. Smith & D.B. Norman, 2007",,
,"Eodromaeus: R.N. Martínez, P.C. Sereno, O.A. Alcober, C.E. Colombi, P.R. Renne, I.P. Montañez & B.S. Currie, 2011",,
,"""Eohadrosaurus"": J.I. Kirkland, 1997 [nomen nudum → Eolambia]",,
,"Eolambia: J.I. Kirkland, 1998",,
,"Eomamenchisaurus: Lü J-C, Li T-G, Zhong S, Ji Q. & Li S-X, 2008",,
,"Eoplophysis: R.E. Ulansky, 2014",,
,"Eoraptor: P.C. Sereno, C.A. Forster, R.R. Rogers & Monetta, 1993",,
,"Eosinopteryx: P. Godefroit, H. Demuynck, G. Dyke, Hu D, F. Escuillié & P. Claeys, 2013 [possible bird]",,
,"Eotrachodon: A. Prieto-Márquez, G.M. Erickson & J.A. Ebersole, 2016",,
,"Eotriceratops: Wu X-C, D. Brinkman, D.A. Eberth & D.R. Braman, 2007",,
,"Eotyrannus: Hutt, D. Naish, D.M. Martill, Barker & Newberry, 2001",,
,"Eousdryosaurus: F. Escaso, F. Ortega, P. Dantas, E. Malafaia, B. Silva, J.M. Gasulla, P. Mocho, I. Narváez & J.L. Sanz, 2014",,
,"Epachthosaurus: J.E. Powell, 1990",,
,"Epanterias: E.D. Cope, 1878 [nomen dubium; PSS → Allosaurus or Saurophaganax]",,
,"Epichirostenotes: R.M. Sullivan, S.E. Jasinski & M.P.A. Van Tomme, 2011",,
,"Epidendrosaurus: Zhang F, Zhou Z, Xu X. & Wang X-L, 2002",,
,"Epidexipteryx: Zhang F, Zhou Z, Xu X, Wang X-L & C. Sullivan, 2008",,
,"Equijubus: You H-L, Luo, Shubin, Witmer, Tang Z. & Tang F, 2003",,
,"Erectopus: F. von Huene, 1922",,
,"Erketu: Ksepka & M.A. Norell, 2006",,
,"Erliansaurus: Xu X, Zhang X.H, P.C. Sereno, Zhao X, Kuang, Han J. & Tan L, 2002",,
,"Erlikosaurus: A. Perle vide R. Barsbold & A. Perle, 1980",,
,"Erythrovenator: R.T. Müller, 2020",,
,"Eshanosaurus: Xu X, Zhau X. & J.M. Clark, 2001",,
,"Euacanthus: R. Owen vide Tennyson, 1897 [nomen nudum; JOS → Polacanthus]",,
,"Eucamerotus: J.W. Hulke, 1872 [nomen dubium]",,
,"Eucentrosaurus: D. Chure & McIntosh, 1989 [JOS → Centrosaurus]",,
,"Eucercosaurus: H.G. Seeley, 1879 [nomen dubium; PSS → Acanthopholis]",,
,"Eucnemesaurus: van Hoepen, 1920",,
,"Eucoelophysis: R. Sullivan & S.G. Lucas, 1999",,
,"Eugongbusaurus: F. Knoll, 1999",,
,"Euhelopus: Romer, 1956",,
,"Euoplocephalus: Lambe, 1910",,
,"Eureodon: B. Brown vide G. Olshevsky, 1991 [nomen nudum → Tenontosaurus]",,
,"Euronychodon: Telles Antunes & Sigogneau-Russell, 1991",,
,"Europasaurus: O. Mateus, Laven & Knötschke vide P.M. Sander, O. Mateus, Laven & Knötschke, 2006",,
,"Europatitan: F.T. Fernández-Baldor, J.I. Canudo, P. Huerta, M. Moreno-Azanza & D. Montero, 2017",,
,"Europelta: J.I. Kirkland, L. Alcalá, M.A. Loewen, E. Espílez, L. Mampel & J.P. Wiersma, 2013",,
,"Euskelosaurus: T.H. Huxley, 1866",,
,"Eustreptospondylus: A.D. Walker, 1964",,
,,,
,"Fabrosaurus: Ginsburg, 1964 [nomen dubium]",,
,"Falcarius: J.I. Kirkland, L.E. Zanno, S.D. Sampson, J.M. Clark & D.D. DeBlieux, 2005",,
,"Fenestrosaurus: H.F. Osborn, 1924 [nomen nudum → Oviraptor]",,
,"Ferganasaurus: V.R. Alifanov & A.O. Averianov, 2003",,
,"Ferganastegos: R.E. Ulansky, 2014",,
,"Ferganocephale: A.O. Averianov, T. Martin & Bakirov, 2005",,
,"Ferrisaurus: V.M. Arbour & D.C. Evans, 2019",,
,"Foraminacephale: R.K. Schott & D.C. Evans, 2016",,
,"Fosterovenator: S.G. Dalman, 2014",,
,"Fostoria: P.R. Bell, T. Brougham, M.C. Herne, T. Frauenfelder & E.T. Smith, 2019",,
,"Frenguellisaurus: F.E. Novas, 1986 [JSS → Herrerasaurus]",,
,"Fruitadens: R.J. Butler, P.M. Galton, L.B. Porro, L.M. Chiappe, D.M. Henderson & G.M. Erickson, 2009",,
,"Fukuiraptor: Y. Azuma & P.J. Currie, 2000",,
,"Fukuisaurus: Y. Kobayashi & Y. Azuma, 2003",,
,"Fukuititan: Y. Azuma & M. Shibata, 2010",,
,"Fukuivenator: Y. Azuma, Xu X, M. Shibata, S. Kawabe, K. Miyata & T. Imai, 2016",,
,"Fulengia: Carroll & P.M. Galton, 1977 [JSS → Lufengosaurus]",,
,"Fulgurotherium: F. von Huene, 1932",,
,"Fushanosaurus: Wang X-R, Wu W-H, Li T, Ji Q, Li Y-X. & Guo J-F, 2019",,
,"Fusinasus: Hutt, 2002 [nomen nudum → Eotyrannus]",,
,"Fusuisaurus: Mo, Wang W, Huang Z, Huang X. & Xu X, 2006",,
,"Futalognkosaurus: J.O. Calvo, J.D. Porfiri, B.J. González-Riga & A.W.A. Kellner, 2007",,
,"Fylax: A. Prieto-Márquez, M.A. Carrera Farias, 2021",,
,,,
,"Gadolosaurus: Saito, 1979 [nomen nudum, possilbe misspelling of Hadrosaurus]",,
,"Galeamopus: E. Tschopp, O.V. Mateus & R.J.B. Benson, 2015",,
,"Galleonosaurus: M.C. Herne, J.P. Nair, A.R. Evans, & A.M. Tait, 2019",,
,"Gallimimus: H. Osmólska, Roniewicz & R. Barsbold, 1972",,
,"Galveosaurus: Sánchez-Hernández, 2005",,
,"Galvesaurus: J.L. Barco, J.I. Canudo, G. Cuenca-Bescós & J.I. Ruíz-Omeñaca, 2005 [JOS → Galveosaurus]",,
,"Gannansaurus: Lü J-C, Yi L-P, Zhong H & Wei X-F, 2013",,
,"Gansutitan: You H-L, Li D-Q, Zhou L. & Ji Q, 2008 [nomen nudum → Daxiatitan]",,
,"Ganzhousaurus: Wang S, Sun C, C. Sullivan & Xu X, 2013",,
,"Gargantuavis: E. Buffetaut & J. LeLoeuff, 1998 [described as avian, possibly theropod]",,
,"Gargoyleosaurus: K. Carpenter, C.A. Miles & K. Cloward, 1998",,
,"Garrigatitan: V.D. Díaz, G. Garcia, X.P. Suberbiola, B. Jentgen-Ceschino, K. Stein, P. Godefroit & X. Valentin, 2020",,
,"Garudimimus: R. Barsbold, 1981",,
,"Gasosaurus: Dong Z-M, 1985",,
,"Gasparinisaura: R.A. Coria & L. Salgado, 1996",,
,"Gastonia (name also refers to a plant): J.I. Kirkland, 1998",,
,"Gavinosaurus: Kelly, 1998 [nomen nudum → Eotyrannus]",,
,"Geminiraptor: P. Senter, J.I. Kirkland, J. Bird & J.A. Bartlett, 2010",,
,"Genusaurus: Accarie, Beaudoin, Dejax, Fries, Michard & P. Taquet, 1995",,
,"Genyodectes: Woodward, 1901",,
,"Geranosaurus: R. Broom, 1911",,
,"Gideonmantellia: J.I. Ruiz-Omeñaca, J.I. Canudo, G. Cuenca-Bescós, P. Cruzado-Caballero, J.M. Gasca & M. Moreno-Azanza, 2012",,
,"Gigantoraptor: Xu X, Tan Q, Wang J, Zhao X. & Tan L, 2007",,
,"Giganotosaurus: R.A. Coria & L. Salgado, 1995",,
,"Gigantosaurus: H.G. Seeley, 1869 [nomen dubium; PSS → Pelorosaurus]",,
,"Gigantosaurus: E. Fraas, 1908 / H.G. Seeley, 1869 → Tornieria",,
,"Gigantoscelus: van Hoepen, 1916 [JSS → Euskelosaurus]",,
,"Gigantspinosaurus: Ouyang H, 1992",,
,"Gilmoreosaurus: M.K. Brett-Surman, 1979",,
,"Ginnareemimus: Kaneko, 2000 [nomen nudum → Kinnareemimus]",,
,"Giraffatitan: G.S. Paul, 1988",,
,"Glacialisaurus: N.D. Smith & D. Pol, 2007",,
,"Glishades: A. Prieto-Márquez, 2010 [nomen dubium; juvenile]",,
,"Glyptodontopelta: Ford, 2000",,
,"Gnathovorax: C. Pacheco, R.T. Müller, M. Langer, F.A. Pretto, L. Kerber & S. Dias da Silva, 2019",,
,"Gobiceratops: V.R. Alifanov, 2008 [PSS → Bagaceratops (adolescent ?)]",,
,"Gobihadros: Tsogtbaatar K, D.B. Weishampel, D.C. Evans & M. Watabe, 2019",,
,"Gobiraptor: Lee S, Lee Y-N, A. Chinsamy, Lü J, R. Barsbold & Tsogtbaatar K, 2019",,
,"Gobisaurus: Vickaryous, A.P. Russell, P.J. Currie & Zhao X, 2001",,
,"Gobititan: You H-L, Tang F. & Luo, 2003",,
,"Gobivenator: T. Tsuihiji, R. Barsbold, M. Watabe, Tsogtbaatar K, T. Chinzorig, Y. Fujiyama, S. Suzuki, 2014",,
,"Godzillasaurus: Ikejiri, 2003 [nomen nudum; JOS → Gojirasaurus (misspelled)]",,
,"Gojirasaurus: K. Carpenter, 1997",,
,"Gondwanatitan: A.W.A. Kellner & Azevedo, 1999",,
,"Gongbusaurus: Dong Z-M, Zhou S. & Zhang Y-H, 1983",,
,"Gongpoquansaurus: You H-L, Li D-Q & P. Dodson, 2014",,
,"Gongxianosaurus: He X, Wang C, Liu S, Zhou F, Liu T, Cai & Dai B, 1998",,
,"Gorgosaurus: Lambe, 1914 [PSS → Albertosaurus]",,
,"Goyocephale: A. Perle, T. Maryanska & H. Osmólska, 1982",,
,"Graciliceratops: P.C. Sereno, 2000",,
,"Graciliraptor: Xu X. & Wang X-L, 2004",,
,"Gravisaurus: Chabli vide D.B. Norman, 1989 [nomen nudum → Lurdusaurus]",,
,"Gravitholus: Wall & P.M. Galton, 1979 [nomen dubium]",,
,"Gresslyosaurus: L. Rütimeyer, 1856 [PSS → Plateosaurus]",,
,"""Gripposaurus"": P.M. Barrett, P. Upchurch, Zhou X. & Wang X, 2007 [nomen nudum]",,
,"Gryphoceratops: M.J. Ryan, D.C. Evans, P.J. Currie, C.M. Brown & D. Brinkman, 2012",,
,"	Gryphognathus (name, Griphognathus, also refers to a lungfish): M.J. Ryan, D.C. Evans, P.J. Currie, C.M. Brown & D. Brinkman, 2011 [nomen manuscriptum → Gryphoceratops]",,
,"Gryponyx: R. Broom, 1911 [JSS → Massospondylus]",,
,"Gryposaurus: Lambe, 1914",,
,"Gspsaurus: M.S. Malkani, 2014",,
,"Guaibasaurus: J.F. Bonaparte, Ferigolo & A. Ribeiro, 1999",,
,"Gualicho: S. Apesteguía, N.D. Smith, R.D. Juárez-Valieri & P.J. Makovicky, 2016",,
,"Guanlong: Xu X, J.M. Clark, C.A. Forster, M.A. Norell, G.M. Erickson, D.A. Eberth, Jia C. & Zhao Q, 2006",,
,"Guemesia: F.L. Agnolín, M.A. Cerroni, A. Scanferla, A. Goswami, A. Paulina-Carabajal, T. Halliday, A.R. Cuff & S. Reuil, 2022",,
,"Gyposaurus: R. Broom, 1911 [JSS → Massospondylus]",,
,,,
,"""Hadrosauravus"": Lambert, 1990 [nomen nudum → Gryposaurus]",,
,"Hadrosaurus: J. Leidy, 1859 [nomen dubium]",,
,"Haestasaurus: P. Upchurch, P.D. Mannion & M.P. Taylor, 2015",,
,"Hagryphus: L.E. Zanno & S.D. Sampson, 2005",,
,"Halszkaraptor: A. Cau, V. Beyrand, D.F.A.E. Voeten, V. Fernandez, P. Tafforeau, K. Stein, R. Barsbold, Tsogtbaatar K, P.J. Currie & P. Godefroit, 2017",,
,"Halticosaurus: F. von Huene, 1908 [nomen dubium]",,
,"Hamititan: Wang X-L, K.L.N. Bandeira, Qiu R, Jiang S-X, Cheng X, Ma Y-X & A.W.A. Kellner, 2021",,
,"Hanssuesia: R. Sullivan, 2003",,
,"""Hanwulosaurus"": [Anonymous] 2001 [nomen nudum; in Xinhua News Service news articles]",,
,"Haplocanthosaurus: Hatcher, 1903",,
,"Haplocanthus: Hatcher, 1903 / L. Agassiz, 1845 → Haplocanthosaurus",,
,"Haplocheirus: J.N. Choiniere, Xu X, J.M. Clark, C.A. Forster, Guo Y. & Han F, 2010",,
,"Harpymimus: R. Barsbold & A. Perle, 1984",,
,"Haya: P.J. Makovicky, B.M. Kilbourne, R.W. Sadleir & M.A. Norell, 2011",,
,"Hecatasaurus: B. Brown, 1910 [JOS → Telmatosaurus]",,
,"Heilongjiangosaurus: Li W. & Jin J, 2001 [nomen nudum]",,
,"Heishansaurus: B. Bohlin, 1953 [nomen dubium]",,
,"Helioceratops: Jin L-Y, Chen J, Zan S. & P. Godefroit, 2009",,
,"Helopus: Wiman, 1929 / J.G. Wagler, 1832 → Euhelopus",,
,"Heptasteornis: C.J.O. Harrison & C.A. Walker, 1975 [nomen dubium; PSS → Elopteryx]",,
,"Herrerasaurus: Reig, 1963",,
,"Hesperonychus: N.R. Longrich & P.J. Currie, 2009",,
,"Hesperornithoides: S. Hartman, M. Mortimer, W.R. Wahl, D.R. Lomax, J. Lippincott & D.M. Lovelace, 2019",,
,"Hesperosaurus: K. Carpenter, C.A. Miles & K. Cloward, 2001",,
,"Heterodontosaurus: Crompton & A.J. Charig, 1962",,
,"Heterosaurus: Cornuel, 1850 [JSS → Iguanodon]",,
,"Hexing: Jin L-Y, Chen J. & P. Godefroit, 2012",,
,"Hexinlusaurus: P.M. Barrett, R.J. Butler & F. Knoll, 2005",,
,"Heyuannia: Lü J-C, 2003",,
,"Hierosaurus: Wieland, 1909",,
,"Hikanodon: G. Mantell vide J. Nöggerath, 1826 [JOS → Iguanodon]",,
,"Hippodraco: A.T. McDonald, J.I. Kirkland, D.D. DeBlieux, S.K. Madsen, J. Cavin, A.R.C. Milner & L. Panzarin, 2010",,
,"""Hironosaurus"": Hisa, 1988 [nomen nudum]",,
,"""Hisanohamasaurus"": Lambert, 1990 [nomen nudum]",,
,"Histriasaurus: F.M. Dalla Vecchia, 1998",,
,"Homalocephale: T. Maryanska & H. Osmólska, 1974",,
,"Honghesaurus: [Anonymous], 1981 [nomen nudum → Yandusaurus]",,
,"Hongshanosaurus: You H-L, Xu X. & Wang X-L, 2003",,
,"Hoplitosaurus: F.A. Lucas, 1902",,
,"Hoplosaurus: H.G. Seeley, 1881 [nomen dubium; PSS → Struthiosaurus]",,
,"Horshamosaurus: W.T. Blows, 2015",,
,"Hortalotarsus: H.G. Seeley, 1894 [JSS → Massospondylus]",,
,"Huabeisaurus: Pang & Cheng Z, 2000",,
,"Hualianceratops: Han F, C.A. Forster, J.M. Clark & Xu X, 2015",,
,"Huallasaurus: S. Rozadilla, F. Brissón-Egli, F.L. Agnolín, A.M. Aranciaga-Rolando & F.E. Novas, 2022",,
,"Huanansaurus: Lü J-C, Pu H-Y, Y. Kobayashi, Xu L, Chang H, Shang Y-H, Liu D, Lee Y-N, M. Kundrát & Shen C, 2015",,
,"Huanghetitan: You H-L, Li D-Q, Zhou L. & Ji Q, 2006",,
,"Huangshanlong: Huang J-D, You H-L, Yang J-T & Ren X-X, 2014",,
