Name,Genus Authority Author,Genus Authority Date,Strata
Analong,"Ren X-X, T. Sekiya, Wang T, Yang Z-W & You H-L",2020,
,"Anasazisaurus: A.P. Hunt & S.G. Lucas, 1993 [PSS → Gryposaurus or Kritosaurus]",,
,"	Anatosaurus: Lull & Wright, 1942 [JSS → Edmontosaurus] All species of ""Anatosaurus"", except ""Anatosaurus copei"", were assimilated into ""Edmontosaurus"" in 1979. ""Anatosaurus copei"" was changed to ""Anatotitan"" in 1990. ",,
,"Anatotitan: M.K. Brett-Surman vide R.E. Chapman & M.K. Brett-Surman, 1990 [PSS → Edmontosaurus]",,
,"Anchiceratops: B. Brown, 1914",,
,"Anchiornis: Xu X, Zhao Q, M.A. Norell, C. Sullivan, Hone, G.M. Erickson, Wang X-L, Han F. & Guo Y, 2009 [possible bird]",,
,"Anchisaurus: O.C. Marsh, 1885",,
,"Andesaurus: J.O. Calvo & J.F. Bonaparte, 1991",,
,"Andhrasaurus: R.E. Ulansky, 2014",,
,"Angaturama: A.W.A. Kellner & D.A. Campos, 1996 [JSS → Irritator]",,
,"Angloposeidon: D. Naish, 2010 [nomen nudum; in Tetrapod Zoology Book One]",,
,"Angolatitan: O. Mateus, L.L. Jacobs, A.S. Schulp, M.J. Polcyn, T.S. Tavares, A.B. Neto, M.L. Morais & M.T. Antunes, 2011",,
,"Angulomastacator: J.R. Wagner & T.M. Lehman, 2009",,
Anhuilong,"Ren X-X, Huang J-D & You H-L",2018,
,"Aniksosaurus: R.D. Martínez & F.E. Novas, 2006",,
,"Animantarx: K. Carpenter, J.I. Kirkland, Burge & J. Bird, 1999",,
,"Ankylosaurus: B. Brown, 1908",,
,"Anodontosaurus: C.M. Sternberg, 1929",,
Anomalipes,"Yu Y, Wang K, Chen S, C. Sullivan, Wang S, Wang P. & Xu X",2018,
Anoplosaurus,H.G. Seeley,1879,
Anserimimus,R. Barsbold,1988,
Antarctopelta,L. Salgado & Z. Gasparini,2006,
,"Antarctosaurus: F. von Huene, 1929",,
,"Antetonitrus: A.M. Yates & Kitching, 2003",,
,"Antrodemus: J. Leidy, 1870 [nomen dubium; PSS → Allosaurus]",,
,"Anzu: M.C. Lamanna, H-D Sues, E.R. Schachner & T.R. Lyson, 2014",,
,"Aoniraptor: M.J. Motta, A.M. Aranciaga Rolando, S. Rozadilla, F.L. Agnolín, N.R. Chimento, F. Brissón-Egli & F.E. Novas, 2016",,
,"Aorun: J.N. Choiniere, J.M. Clark, C.A. Forster, M.A. Norell, D.A. Eberth, G.M. Erickson, Chu H-J & Xu X, 2013",,
,"Apatodon: O.C. Marsh, 1877 [nomen dubium; PSS → Allosaurus]",,
,"Apatoraptor: G.F. Funston & P.J. Currie, 2016",,
,"Apatosaurus: O.C. Marsh, 1877",,
,"Appalachiosaurus: T.D. Carr, T.E. Williamson & Schwimmer, 2005",,
,"Aquilarhinus: A. Prieto-Márquez, J.R. Wagner & T. Lehman, 2019",,
,"Aquilops: A,A. Farke, W.D. Maxwell, R.L. Cifelli & M.J. Wedel, 2014",,
,"Arackar: D. Rubilar-Rogers, A.O. Vargas, B. González Riga, S. Soto-Acuña, J. Alarcón-Muñoz, J. Iriarte-Díaz, C. Arévalo & C.S. Gutstein, 2021",,
,"Aragosaurus: J.L. Sanz, Buscalioni, Casanovas-Cladellas (as Casanovas) & Santafe, 1987",,
,"Aralosaurus: Rozhdestvensky, 1968",,
